transaction_id,originator_account,beneficiary_account,originator_bank,beneficiary_bank,amount,timestamp,orig_tx_count,orig_total_amount,orig_avg_amount,orig_ml_rate,dataset_source
SAML_000000,SAML_ACC_0136,SAML_ACC_0215,BANK_A,BANK_A,8050.0073,2024-01-01 00:00:00,14,152817.56,10915.54,0.1429,saml_d
SAML_000001,SAML_ACC_0418,SAML_ACC_0395,BANK_C,BANK_A,2260.7942,2024-01-01 00:30:00,10,127042.945,12704.295,0.1,saml_d
SAML_000002,SAML_ACC_0315,SAML_ACC_0112,BANK_A,BANK_A,10887.57,2024-01-01 01:00:00,11,145245.42,13204.129,0.0909,saml_d
SAML_000003,SAML_ACC_0018,SAML_ACC_0442,BANK_B,BANK_B,62696.426,2024-01-01 01:30:00,9,635668.0,70629.78,0.0,saml_d
SAML_000004,SAML_ACC_0351,SAML_ACC_0192,BANK_B,BANK_B,1866.263,2024-01-01 02:00:00,11,262465.8,23860.53,0.0909,saml_d
SAML_000005,SAML_ACC_0443,SAML_ACC_0402,BANK_C,BANK_C,1866.3242,2024-01-01 02:30:00,8,41792.957,5224.1196,0.125,saml_d
SAML_000006,SAML_ACC_0155,SAML_ACC_0047,BANK_C,BANK_B,70152.42,2024-01-01 03:00:00,10,206749.11,20674.91,0.1,saml_d
SAML_000007,SAML_ACC_0272,SAML_ACC_0489,BANK_A,BANK_A,13833.79,2024-01-01 03:30:00,8,67872.03,8484.004,0.25,saml_d
SAML_000008,SAML_ACC_0266,SAML_ACC_0428,BANK_C,BANK_B,1165.6699,2024-01-01 04:00:00,9,211673.56,23519.285,0.1111,saml_d
SAML_000009,SAML_ACC_0360,SAML_ACC_0221,BANK_C,BANK_B,8823.025,2024-01-01 04:30:00,14,402323.5,28737.393,0.0714,saml_d
SAML_000010,SAML_ACC_0332,SAML_ACC_0187,BANK_C,BANK_A,1179.876,2024-01-01 05:00:00,10,308777.7,30877.77,0.0,saml_d
SAML_000011,SAML_ACC_0406,SAML_ACC_0050,BANK_B,BANK_C,1174.4327,2024-01-01 05:30:00,9,100095.18,11121.687,0.0,saml_d
SAML_000012,SAML_ACC_0016,SAML_ACC_0197,BANK_C,BANK_B,4836.3936,2024-01-01 06:00:00,11,103964.9,9451.3545,0.1818,saml_d
SAML_000013,SAML_ACC_0012,SAML_ACC_0216,BANK_C,BANK_C,64.93842,2024-01-01 06:30:00,9,49551.46,5505.718,0.2222,saml_d
SAML_000014,SAML_ACC_0075,SAML_ACC_0413,BANK_B,BANK_A,94.647964,2024-01-01 07:00:00,8,222390.33,27798.791,0.25,saml_d
SAML_000015,SAML_ACC_0212,SAML_ACC_0221,BANK_B,BANK_B,968.1867,2024-01-01 07:30:00,16,390086.6,24380.412,0.125,saml_d
SAML_000016,SAML_ACC_0179,SAML_ACC_0380,BANK_B,BANK_C,393.2076,2024-01-01 08:00:00,13,793084.06,61006.465,0.0769,saml_d
SAML_000017,SAML_ACC_0129,SAML_ACC_0090,BANK_B,BANK_C,5588.659,2024-01-01 08:30:00,15,317845.8,21189.72,0.0667,saml_d
SAML_000018,SAML_ACC_0283,SAML_ACC_0232,BANK_C,BANK_A,484.90445,2024-01-01 09:00:00,14,177990.88,12713.634,0.0714,saml_d
SAML_000019,SAML_ACC_0195,SAML_ACC_0323,BANK_C,BANK_B,176.86604,2024-01-01 09:30:00,12,98575.69,8214.641,0.1667,saml_d
SAML_000020,SAML_ACC_0268,SAML_ACC_0258,BANK_C,BANK_C,55898.76,2024-01-01 10:00:00,11,134430.84,12220.985,0.0,saml_d
SAML_000021,SAML_ACC_0030,SAML_ACC_0153,BANK_A,BANK_C,1897.794,2024-01-01 10:30:00,13,159554.34,12273.411,0.1538,saml_d
SAML_000022,SAML_ACC_0009,SAML_ACC_0256,BANK_B,BANK_C,3412.0085,2024-01-01 11:00:00,11,264312.8,24028.438,0.0909,saml_d
SAML_000023,SAML_ACC_0309,SAML_ACC_0403,BANK_C,BANK_C,172.51836,2024-01-01 11:30:00,14,265879.2,18991.371,0.0714,saml_d
SAML_000024,SAML_ACC_0445,SAML_ACC_0424,BANK_C,BANK_C,1003.48535,2024-01-01 12:00:00,6,269624.7,44937.45,0.0,saml_d
SAML_000025,SAML_ACC_0310,SAML_ACC_0258,BANK_C,BANK_C,3721.3625,2024-01-01 12:30:00,11,117981.67,10725.605,0.1818,saml_d
SAML_000026,SAML_ACC_0165,SAML_ACC_0467,BANK_B,BANK_C,298.2741,2024-01-01 13:00:00,8,97014.84,12126.855,0.0,saml_d
