transaction_id,timestamp,amount,currency,originator_account,beneficiary_account,originator_bank,beneficiary_bank,transaction_type,originator_country,beneficiary_country,is_laundering,typology,risk_score,alert_flag,dataset_source,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,hour,day_of_week,is_weekend,is_business_hours,log_amount,amount_rounded,is_round_amount,high_amount,unusual_hour,cross_border,orig_tx_count,orig_total_amount,orig_avg_amount,orig_ml_rate
SAML_002904,2024-03-01 12:00:00,143.4021,USD,SAML_ACC_0110,SAML_ACC_0150,BANK_B,BANK_A,PAYMENT,DE,US,False,TRADE_BASED,0.5244216322898865,False,saml_d,,,,,,,,,,,12,4,False,True,4.972602,100.0,False,False,False,True,11,321646.06,29240.55,0.0
SAML_003301,2024-03-09 18:30:00,456.75577,USD,SAML_ACC_0044,SAML_ACC_0100,BANK_A,BANK_A,TRANSFER,US,NL,True,SMURFING,0.7182449698448181,True,saml_d,,,,,,,,,,,18,5,True,False,6.1263356,500.0,False,False,False,True,9,31828.352,3536.4836,0.2222
SAML_001533,2024-02-01 22:30:00,2218.9622,USD,SAML_ACC_0374,SAML_ACC_0171,BANK_C,BANK_A,TRANSFER,NL,CA,False,WIRE_FRAUD,0.2887665927410126,False,saml_d,,,,,,,,,,,22,3,False,False,7.7052455,2200.0,False,False,True,True,13,69044.234,5311.0947,0.0769
MARY_000590,2023-07-20 04:00:00,10502.556,USD,MARY_ACC_023,MARY_ACC_027,MARY_BANK,MARY_BANK,TRANSFER,US,US,False,INTEGRATION,0.27800920605659485,True,maryam,,,,,,,,,,,4,3,False,False,9.259469,10500.0,False,False,True,False,22,145745.25,6624.784,0.2727
SAML_000513,2024-01-11 16:30:00,485.35117,USD,SAML_ACC_0143,SAML_ACC_0019,BANK_A,BANK_B,DEPOSIT,NL,UK,False,CRYPTOCURRENCY,0.3227391839027405,False,saml_d,,,,,,,,,,,16,3,False,True,6.186931,500.0,False,False,False,True,14,116077.85,8291.275,0.0
SAML_000198,2024-01-05 03:00:00,3349.0012,USD,SAML_ACC_0482,SAML_ACC_0090,BANK_A,BANK_C,PAYMENT,FR,US,False,SMURFING,0.1754632443189621,False,saml_d,,,,,,,,,,,3,4,False,False,8.116716,3300.0,False,False,True,True,14,299242.47,21374.463,0.0714
SAML_001412,2024-01-30 10:00:00,7418.822,USD,SAML_ACC_0411,SAML_ACC_0258,BANK_B,BANK_B,WITHDRAWAL,US,US,False,IDENTITY_THEFT,0.1324436217546463,False,saml_d,,,,,,,,,,,10,1,False,True,8.91191,7400.0,False,False,False,False,10,39549.7,3954.97,0.1
SAML_002113,2024-02-14 00:30:00,401.6677,EUR,SAML_ACC_0097,SAML_ACC_0452,BANK_C,BANK_A,TRANSFER,FR,US,False,STRUCTURING,0.23062530159950256,False,saml_d,,,,,,,,,,,0,2,False,False,5.9981117,400.0,False,False,True,True,12,1028135.44,85677.95,0.1667
SAML_002085,2024-02-13 10:30:00,259.45288,USD,SAML_ACC_0498,SAML_ACC_0340,BANK_A,BANK_B,WITHDRAWAL,NL,FR,True,SHELL_COMPANY,0.555756151676178,True,saml_d,,,,,,,,,,,10,1,False,True,5.562422,300.0,False,False,False,True,9,41313.797,4590.422,0.3333
MARY_000965,2023-08-20 10:00:00,939.02295,USD,MARY_ACC_049,MARY_ACC_049,MARY_BANK,MARY_BANK,TRANSFER,US,US,False,LAYERING,0.8883600234985352,True,maryam,,,,,,,,,,,10,6,True,True,6.8459044,900.0,False,False,False,False,26,41884.04,1610.9246,0.1923
MARY_000235,2023-06-20 14:00:00,3159.1675,USD,MARY_ACC_032,MARY_ACC_035,MARY_BANK,MARY_BANK,TRANSFER,US,US,True,INTEGRATION,0.7357242107391357,True,maryam,,,,,,,,,,,14,1,False,True,8.05838,3200.0,False,False,False,False,14,28841.879,2060.134,0.2857
SAML_000869,2024-01-19 02:30:00,166110.6,USD,SAML_ACC_0241,SAML_ACC_0088,BANK_C,BANK_A,WITHDRAWAL,NL,US,False,SHELL_COMPANY,0.12153731286525726,True,saml_d,,,,,,,,,,,2,4,False,False,12.020415,166100.0,False,True,True,True,13,318049.78,24465.367,0.0769
SAML_000834,2024-01-18 09:00:00,2781.179,USD,SAML_ACC_0051,SAML_ACC_0145,BANK_B,BANK_C,DEPOSIT,DE,NL,False,WIRE_FRAUD,0.1756557822227478,True,saml_d,,,,,,,,,,,9,3,False,True,7.9309897,2800.0,False,False,False,True,13,29376.797,2259.7537,0.0769
MARY_000860,2023-08-11 16:00:00,1235.4554,USD,MARY_ACC_007,MARY_ACC_037,MARY_BANK,MARY_BANK,TRANSFER,US,US,True,PLACEMENT,0.32324856519699097,True,maryam,,,,,,,,,,,16,4,False,True,7.120004,1200.0,False,False,False,False,16,29292.713,1830.7946,0.4375
SAML_001528,2024-02-01 20:00:00,1121.3641,USD,SAML_ACC_0394,SAML_ACC_0202,BANK_A,BANK_A,TRANSFER,UK,US,False,STRUCTURING,0.1587131768465042,False,saml_d,,,,,,,,,,,20,3,False,False,7.0231924,1100.0,False,False,False,True,11,222381.34,20216.486,0.0909
SAML_002025,2024-02-12 04:30:00,4305.718,USD,SAML_ACC_0369,SAML_ACC_0400,BANK_A,BANK_B,WITHDRAWAL,CA,US,False,CASH_INTENSIVE,0.6169250011444092,False,saml_d,,,,,,,,,,,4,0,False,False,8.367931,4300.0,False,False,True,True,11,185510.08,16864.553,0.1818
SAML_000273,2024-01-06 16:30:00,3042.5952,USD,SAML_ACC_0372,SAML_ACC_0257,BANK_B,BANK_B,PAYMENT,CA,FR,False,WIRE_FRAUD,0.46765223145484924,False,saml_d,,,,,,,,,,,16,5,True,True,8.020795,3000.0,False,False,False,True,10,37478.387,3747.8389,0.2
SAML_000629,2024-01-14 02:30:00,26592.46,USD,SAML_ACC_0155,SAML_ACC_0331,BANK_A,BANK_B,PAYMENT,UK,CA,True,SMURFING,0.9105486869812012,True,saml_d,,,,,,,,,,,2,6,True,False,10.18842,26600.0,False,False,True,True,10,206749.11,20674.91,0.1
MARY_000934,2023-08-17 20:00:00,525.942,USD,MARY_ACC_009,MARY_ACC_043,MARY_BANK,MARY_BANK,TRANSFER,US,US,False,LAYERING,0.41956213116645813,True,maryam,,,,,,,,,,,20,3,False,False,6.2670903,500.0,False,False,False,False,23,81293.15,3534.4849,0.3043
SAML_000367,2024-01-08 15:30:00,3056.986,USD,SAML_ACC_0306,SAML_ACC_0222,BANK_B,BANK_B,DEPOSIT,NL,FR,False,LAYERING,0.31092068552970886,False,saml_d,,,,,,,,,,,15,0,False,True,8.025512,3100.0,False,False,False,True,11,188523.31,17138.482,0.0
SAML_001054,2024-01-22 23:00:00,991.6693,EUR,SAML_ACC_0385,SAML_ACC_0498,BANK_C,BANK_C,TRANSFER,FR,NL,False,LAYERING,0.3413172662258148,False,saml_d,,,,,,,,,,,23,0,False,False,6.900398,1000.0,False,False,True,True,11,83452.44,7586.5854,0.0
SAML_002520,2024-02-22 12:00:00,4231.9697,USD,SAML_ACC_0457,SAML_ACC_0382,BANK_B,BANK_A,WITHDRAWAL,US,CA,False,SMURFING,0.4506377875804901,True,saml_d,,,,,,,,,,,12,3,False,True,8.350659,4200.0,False,False,False,True,13,41828.004,3217.5388,0.0769
SAML_004448,2024-04-02 16:00:00,7796.96,EUR,SAML_ACC_0253,SAML_ACC_0329,BANK_A,BANK_A,DEPOSIT,US,FR,False,TRADE_BASED,0.4055634140968323,False,saml_d,,,,,,,,,,,16,1,False,True,8.961617,7800.0,False,False,False,True,7,34794.16,4970.594,0.0
SAML_003824,2024-03-20 16:00:00,780.3711,USD,SAML_ACC_0456,SAML_ACC_0250,BANK_C,BANK_B,WITHDRAWAL,CA,NL,False,STRUCTURING,0.3606319725513458,False,saml_d,,,,,,,,,,,16,2,False,True,6.6610503,800.0,False,False,False,True,12,68715.17,5726.264,0.0833
SAML_002636,2024-02-24 22:00:00,4364.5537,USD,SAML_ACC_0022,SAML_ACC_0422,BANK_B,BANK_A,PAYMENT,US,NL,True,IDENTITY_THEFT,0.5897328853607178,True,saml_d,,,,,,,,,,,22,5,True,False,8.3815,4400.0,False,False,True,True,9,21880.098,2431.122,0.1111
SAML_001363,2024-01-29 09:30:00,425.75418,USD,SAML_ACC_0155,SAML_ACC_0408,BANK_B,BANK_B,TRANSFER,FR,CA,False,SMURFING,0.5081085562705994,False,saml_d,,,,,,,,,,,9,0,False,True,6.056208,400.0,False,False,False,True,10,206749.11,20674.91,0.1
SAML_003969,2024-03-23 16:30:00,39390.85,EUR,SAML_ACC_0375,SAML_ACC_0219,BANK_A,BANK_B,PAYMENT,UK,NL,False,CASH_INTENSIVE,0.18991947174072266,False,saml_d,,,,,,,,,,,16,5,True,True,10.581314,39400.0,False,False,False,True,12,86572.09,7214.342,0.0833
MARY_000294,2023-06-25 12:00:00,484.28787,USD,MARY_ACC_017,MARY_ACC_018,MARY_BANK,MARY_BANK,TRANSFER,US,US,False,INTEGRATION,0.7231185436248779,True,maryam,,,,,,,,,,,12,6,True,True,6.1847425,500.0,False,False,False,False,18,32940.06,1830.0032,0.2222
SAML_000716,2024-01-15 22:00:00,3746.0427,CAD,SAML_ACC_0330,SAML_ACC_0343,BANK_B,BANK_B,DEPOSIT,UK,FR,False,CRYPTOCURRENCY,0.1824621558189392,False,saml_d,,,,,,,,,,,22,0,False,False,8.228723,3700.0,False,False,True,True,11,169612.38,15419.308,0.0
