transaction_id,timestamp,amount,currency,originator_account,beneficiary_account,originator_bank,beneficiary_bank,transaction_type,originator_country,beneficiary_country,is_laundering,typology,risk_score,alert_flag,dataset_source,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,hour,day_of_week,is_weekend,is_business_hours,log_amount,amount_rounded,is_round_amount,high_amount,unusual_hour,cross_border,orig_tx_count,orig_total_amount,orig_avg_amount,orig_ml_rate
SAML_000015,2024-01-01 07:30:00,968.1867,USD,SAML_ACC_0212,SAML_ACC_0221,BANK_B,BANK_B,WITHDRAWAL,DE,CA,True,TRADE_BASED,0.7344500422477722,True,saml_d,,,,,,,,,,,7,0,False,False,6.876457,1000.0,False,False,False,True,16,390086.6,24380.412,0.125
SAML_000038,2024-01-01 19:00:00,209.27055,USD,SAML_ACC_0079,SAML_ACC_0069,BANK_C,BANK_A,TRANSFER,NL,CA,False,CRYPTOCURRENCY,0.783189058303833,False,saml_d,,,,,,,,,,,19,0,False,False,5.348395,200.0,False,False,False,True,14,183634.56,13116.755,0.0
SAML_000067,2024-01-02 09:30:00,22182.652,GBP,SAML_ACC_0464,SAML_ACC_0122,BANK_A,BANK_A,TRANSFER,NL,FR,True,WIRE_FRAUD,0.7482121586799622,True,saml_d,,,,,,,,,,,9,1,False,True,10.007111,22200.0,False,False,False,True,5,36980.305,7396.061,0.4
SAML_000091,2024-01-02 21:30:00,20687.604,EUR,SAML_ACC_0278,SAML_ACC_0001,BANK_A,BANK_A,WITHDRAWAL,FR,FR,True,LAYERING,0.7494543194770813,True,saml_d,,,,,,,,,,,21,1,False,False,9.937338,20700.0,False,False,False,False,11,60003.62,5454.875,0.1818
SAML_000102,2024-01-03 03:00:00,1502.0272,USD,SAML_ACC_0159,SAML_ACC_0455,BANK_B,BANK_C,TRANSFER,DE,UK,True,SHELL_COMPANY,0.8420606851577759,True,saml_d,,,,,,,,,,,3,2,False,False,7.3152366,1500.0,False,False,True,True,9,31061.562,3451.285,0.1111
SAML_000109,2024-01-03 06:30:00,2568.579,USD,SAML_ACC_0095,SAML_ACC_0155,BANK_C,BANK_C,PAYMENT,FR,UK,True,STRUCTURING,0.9309986233711243,True,saml_d,,,,,,,,,,,6,2,False,False,7.851497,2600.0,False,False,False,True,12,81312.89,6776.074,0.3333
SAML_000120,2024-01-03 12:00:00,14502.319,EUR,SAML_ACC_0148,SAML_ACC_0469,BANK_B,BANK_A,PAYMENT,UK,FR,True,SHELL_COMPANY,0.9811052680015564,True,saml_d,,,,,,,,,,,12,2,False,True,9.582133,14500.0,False,False,False,True,9,66127.875,7347.5415,0.3333
SAML_000161,2024-01-04 08:30:00,14388.279,USD,SAML_ACC_0268,SAML_ACC_0061,BANK_A,BANK_C,DEPOSIT,NL,UK,False,SMURFING,0.7228958010673523,True,saml_d,,,,,,,,,,,8,3,False,False,9.574239,14400.0,False,False,False,True,11,134430.84,12220.985,0.0
SAML_000165,2024-01-04 10:30:00,6806.0137,USD,SAML_ACC_0085,SAML_ACC_0330,BANK_B,BANK_C,DEPOSIT,DE,UK,True,SMURFING,0.9498999714851379,True,saml_d,,,,,,,,,,,10,3,False,True,8.825708,6800.0,False,False,False,True,10,169143.47,16914.348,0.1
SAML_000168,2024-01-04 12:00:00,1824.7965,USD,SAML_ACC_0302,SAML_ACC_0213,BANK_C,BANK_A,WITHDRAWAL,US,CA,True,SHELL_COMPANY,0.8931076526641846,True,saml_d,,,,,,,,,,,12,3,False,True,7.509772,1800.0,False,False,False,True,19,242393.03,12757.528,0.1579
