transaction_id,timestamp,amount,currency,originator_account,beneficiary_account,originator_bank,beneficiary_bank,transaction_type,originator_country,beneficiary_country,is_laundering,typology,risk_score,alert_flag,dataset_source,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,hour,day_of_week,is_weekend,is_business_hours,log_amount,amount_rounded,is_round_amount,high_amount,unusual_hour,cross_border,orig_tx_count,orig_total_amount,orig_avg_amount,orig_ml_rate
SAML_004999,2024-04-14 03:30:00,546.68286,USD,SAML_ACC_0003,SAML_ACC_0051,BANK_C,BANK_A,PAYMENT,DE,UK,False,TRADE_BASED,0.28715401887893677,False,saml_d,,,,,,,,,,,3,6,True,False,6.3056965,500.0,False,False,True,True,10,362759.53,36275.953,0.0
SAML_004998,2024-04-14 03:00:00,15004.004,USD,SAML_ACC_0417,SAML_ACC_0323,BANK_A,BANK_C,DEPOSIT,FR,FR,False,SHELL_COMPANY,0.2586408257484436,True,saml_d,,,,,,,,,,,3,6,True,False,9.616139,15000.0,False,False,True,False,5,42450.387,8490.077,0.0
SAML_004997,2024-04-14 02:30:00,1507284.8,EUR,SAML_ACC_0208,SAML_ACC_0030,BANK_B,BANK_A,WITHDRAWAL,US,NL,False,IDENTITY_THEFT,0.40187668800354004,True,saml_d,,,,,,,,,,,2,6,True,False,14.2258215,1507300.0,False,True,True,True,6,1551279.8,258546.64,0.1667
SAML_004996,2024-04-14 02:00:00,12367.424,GBP,SAML_ACC_0354,SAML_ACC_0116,BANK_A,BANK_A,WITHDRAWAL,NL,FR,False,LAYERING,0.1545865833759308,False,saml_d,,,,,,,,,,,2,6,True,False,9.422902,12400.0,False,False,True,True,6,41309.895,6884.9824,0.1667
SAML_004995,2024-04-14 01:30:00,2702.8713,USD,SAML_ACC_0420,SAML_ACC_0330,BANK_B,BANK_C,DEPOSIT,US,UK,False,INTEGRATION,0.19931475818157196,False,saml_d,,,,,,,,,,,1,6,True,False,7.90244,2700.0,False,False,True,True,9,656142.0,72904.664,0.1111
SAML_004994,2024-04-14 01:00:00,800.5147,GBP,SAML_ACC_0464,SAML_ACC_0152,BANK_B,BANK_B,TRANSFER,FR,DE,True,INTEGRATION,0.7211304903030396,True,saml_d,,,,,,,,,,,1,6,True,False,6.6865034,800.0,False,False,True,True,5,36980.305,7396.061,0.4
SAML_004993,2024-04-14 00:30:00,9260.779,USD,SAML_ACC_0025,SAML_ACC_0116,BANK_B,BANK_C,WITHDRAWAL,DE,UK,False,SHELL_COMPANY,0.24165280163288116,False,saml_d,,,,,,,,,,,0,6,True,False,9.133652,9300.0,False,False,True,True,13,152028.6,11694.507,0.0
SAML_004992,2024-04-14 00:00:00,2369.4082,GBP,SAML_ACC_0347,SAML_ACC_0354,BANK_B,BANK_C,TRANSFER,NL,DE,False,IDENTITY_THEFT,0.1772063672542572,False,saml_d,,,,,,,,,,,0,6,True,False,7.7708173,2400.0,False,False,True,True,11,196100.34,17827.305,0.0
SAML_004991,2024-04-13 23:30:00,11689.497,USD,SAML_ACC_0446,SAML_ACC_0017,BANK_C,BANK_A,PAYMENT,DE,DE,False,CASH_INTENSIVE,0.023413799703121185,False,saml_d,,,,,,,,,,,23,5,True,False,9.366531,11700.0,False,False,True,False,11,161670.38,14697.308,0.0909
SAML_004990,2024-04-13 23:00:00,44.758774,USD,SAML_ACC_0369,SAML_ACC_0458,BANK_C,BANK_B,DEPOSIT,DE,CA,False,CASH_INTENSIVE,0.4305715560913086,False,saml_d,,,,,,,,,,,23,5,True,False,3.8233836,0.0,False,False,True,True,11,185510.08,16864.553,0.1818
SAML_004989,2024-04-13 22:30:00,356546.25,USD,SAML_ACC_0221,SAML_ACC_0299,BANK_C,BANK_C,PAYMENT,US,FR,False,STRUCTURING,0.33130523562431335,False,saml_d,,,,,,,,,,,22,5,True,False,12.784222,356500.0,False,True,True,True,13,434463.2,33420.246,0.0
SAML_004988,2024-04-13 22:00:00,4381.708,CAD,SAML_ACC_0154,SAML_ACC_0399,BANK_C,BANK_B,DEPOSIT,DE,UK,False,IDENTITY_THEFT,0.6308038234710693,False,saml_d,,,,,,,,,,,22,5,True,False,8.385422,4400.0,False,False,True,True,10,61864.332,6186.4336,0.2
SAML_004987,2024-04-13 21:30:00,3424.5989,USD,SAML_ACC_0270,SAML_ACC_0069,BANK_B,BANK_A,WITHDRAWAL,FR,CA,False,PHANTOM_TRANSACTIONS,0.34846872091293335,False,saml_d,,,,,,,,,,,21,5,True,False,8.139031,3400.0,False,False,False,True,9,53299.68,5922.1865,0.1111
SAML_004986,2024-04-13 21:00:00,1915.8469,USD,SAML_ACC_0078,SAML_ACC_0100,BANK_A,BANK_C,TRANSFER,NL,NL,False,SHELL_COMPANY,0.31728217005729675,False,saml_d,,,,,,,,,,,21,5,True,False,7.558437,1900.0,False,False,False,False,8,23746.633,2968.329,0.0
SAML_004985,2024-04-13 20:30:00,78558.24,USD,SAML_ACC_0212,SAML_ACC_0448,BANK_C,BANK_C,TRANSFER,DE,NL,False,PHANTOM_TRANSACTIONS,0.2785244584083557,False,saml_d,,,,,,,,,,,20,5,True,False,11.271608,78600.0,False,True,False,True,16,390086.6,24380.412,0.125
SAML_004984,2024-04-13 20:00:00,9225.113,EUR,SAML_ACC_0458,SAML_ACC_0271,BANK_A,BANK_B,PAYMENT,US,UK,False,PHANTOM_TRANSACTIONS,0.3222060799598694,True,saml_d,,,,,,,,,,,20,5,True,False,9.129793,9200.0,False,False,False,True,10,646954.75,64695.477,0.0
SAML_004983,2024-04-13 19:30:00,2220.726,CAD,SAML_ACC_0265,SAML_ACC_0055,BANK_B,BANK_A,TRANSFER,NL,US,False,PHANTOM_TRANSACTIONS,0.27474334836006165,False,saml_d,,,,,,,,,,,19,5,True,False,7.70604,2200.0,False,False,False,True,9,13280.176,1475.5751,0.0
SAML_004982,2024-04-13 19:00:00,5289.866,USD,SAML_ACC_0422,SAML_ACC_0130,BANK_A,BANK_B,DEPOSIT,UK,US,False,TRADE_BASED,0.24223874509334564,True,saml_d,,,,,,,,,,,19,5,True,False,8.573737,5300.0,False,False,False,True,11,116959.2,10632.655,0.0909
SAML_004981,2024-04-13 18:30:00,17573.715,USD,SAML_ACC_0273,SAML_ACC_0481,BANK_A,BANK_C,DEPOSIT,CA,CA,False,WIRE_FRAUD,0.4154549837112427,False,saml_d,,,,,,,,,,,18,5,True,False,9.774217,17600.0,False,False,False,False,9,763899.06,84877.67,0.0
SAML_004980,2024-04-13 18:00:00,271.5285,EUR,SAML_ACC_0492,SAML_ACC_0230,BANK_C,BANK_A,TRANSFER,NL,UK,False,TRADE_BASED,0.20673103630542755,False,saml_d,,,,,,,,,,,18,5,True,False,5.6077433,300.0,False,False,False,True,12,1152435.8,96036.31,0.0833
SAML_004979,2024-04-13 17:30:00,35.133602,EUR,SAML_ACC_0112,SAML_ACC_0075,BANK_A,BANK_B,DEPOSIT,DE,FR,False,INTEGRATION,0.38260963559150696,False,saml_d,,,,,,,,,,,17,5,True,True,3.5872233,0.0,False,False,False,True,20,203927.31,10196.365,0.1
SAML_004978,2024-04-13 17:00:00,6497.736,CAD,SAML_ACC_0182,SAML_ACC_0480,BANK_A,BANK_A,PAYMENT,CA,DE,False,LAYERING,0.4296209216117859,False,saml_d,,,,,,,,,,,17,5,True,True,8.779363,6500.0,False,False,False,True,12,71392.53,5949.3774,0.0833
