Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,currency,originator_bank,beneficiary_bank,originator_country,beneficiary_country,typology,risk_score,alert_flag,dataset_source
2022/09/01 00:07,26241,80C3794D0,26241,80C3794D0,863205.2,US Dollar,863205.2,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.26684024753109853,False,ibm_aml
2022/09/01 00:13,180965,81F32B920,180965,81F32B920,108.26,US Dollar,108.26,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.2946913327727739,False,ibm_aml
2022/09/01 00:25,53964,816210DD0,53964,816210DD0,146694.69,US Dollar,146694.69,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.006852219040124563,False,ibm_aml
2022/09/01 00:24,120571,814A3DB80,120571,814A3DB80,9068.93,US Dollar,9068.93,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.38602935603356314,False,ibm_aml
2022/09/01 00:06,376882,8455B7560,1125075,8455B58A0,3244.47,US Dollar,3244.47,US Dollar,ACH,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.4824451145286042,False,ibm_aml
2022/09/01 00:00,7818,819B03CD0,7818,819B03CD0,63596.17,US Dollar,63596.17,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.3251972840137114,False,ibm_aml
2022/09/01 00:06,73548,8221D2C10,73548,8221D2C10,187079.36,US Dollar,187079.36,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.468792729696636,False,ibm_aml
2022/09/01 00:24,118871,84C5DBFF0,118871,84C5DBFF0,8.68,US Dollar,8.68,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.4320317040186257,False,ibm_aml
2022/09/01 00:03,11796,801055370,11796,801055370,58442.29,US Dollar,58442.29,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.07499512882437942,False,ibm_aml
2022/09/01 00:18,79632,8401BB5C0,79632,8401BB5C0,6.52,US Dollar,6.52,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.4608145740756542,False,ibm_aml
2022/09/01 00:21,2129049,850EA1C60,2129049,850EA1C60,2956170.8,US Dollar,2956170.8,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.29963796871864606,False,ibm_aml
2022/09/01 00:00,13729,832E39DB0,13729,832E39DB0,23.21,US Dollar,23.21,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.49167829145533,False,ibm_aml
2022/09/01 00:10,139958,82491A330,139958,82491A330,425.72,US Dollar,425.72,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.3713152834551733,False,ibm_aml
2022/09/01 00:13,80082,820EDF270,80082,820EDF270,9.84,US Dollar,9.84,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.07898018405303125,False,ibm_aml
2022/09/01 00:13,213639,804FDC4D0,8381,80EE39450,91745.5,US Dollar,91745.5,US Dollar,Cheque,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.10508820998125473,False,ibm_aml
2022/09/01 00:07,238261,8480FE6A0,238261,8480FE6A0,252.6,US Dollar,252.6,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.3936558860565228,False,ibm_aml
2022/09/01 00:11,220845,80AD74A10,220845,80AD74A10,588450.56,US Dollar,588450.56,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.06206281174809458,False,ibm_aml
2022/09/01 00:03,15019,82C36DA70,15019,82C36DA70,8917.85,US Dollar,8917.85,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.11668311545177562,False,ibm_aml
2022/09/01 00:29,9238,814EA1DD0,9238,814EA1DD0,4667.8,US Dollar,4667.8,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.05190733210257226,False,ibm_aml
2022/09/01 00:23,29574,8248725D0,29574,8248725D0,10.96,US Dollar,10.96,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.05098614260225359,False,ibm_aml
2022/09/01 00:03,254463,83243A8F0,254463,83243A8F0,627479.7,US Dollar,627479.7,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.30442811309072415,False,ibm_aml
2022/09/01 00:05,126610,81E8569E0,126610,81E8569E0,5858.05,US Dollar,5858.05,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.473402520133353,False,ibm_aml
2022/09/01 00:20,367370,81B229370,367370,81B229370,59551.0,US Dollar,59551.0,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.3772768325988229,False,ibm_aml
2022/09/01 00:25,218354,809D197A0,218354,809D197A0,5.62,US Dollar,5.62,US Dollar,Reinvestment,0,USD,IBM_BANK_1,IBM_BANK_2,US,US,legitimate,0.3128446810515819,False,ibm_aml
