transaction_id,timestamp,amount,currency,originator_account,beneficiary_account,originator_bank,beneficiary_bank,transaction_type,originator_country,beneficiary_country,is_laundering,typology,risk_score,alert_flag,dataset_source
MARY_000000,2023-06-01 00:00:00,78.44637,USD,MARY_ACC_003,MARY_ACC_001,MARY_BANK,MARY_BANK,transfer,US,US,True,layering,0.35846412,True,synthetic_maryam
MARY_000001,2023-06-01 02:00:00,2586.0862,USD,MARY_ACC_036,MARY_ACC_012,MARY_BANK,MARY_BANK,transfer,US,US,True,layering,0.38834223,True,synthetic_maryam
MARY_000002,2023-06-01 04:00:00,5590.2095,USD,MARY_ACC_039,MARY_ACC_023,MARY_BANK,MARY_BANK,transfer,US,US,True,integration,0.8772185,True,synthetic_maryam
MARY_000003,2023-06-01 06:00:00,101.80711,USD,MARY_ACC_028,MARY_ACC_001,MARY_BANK,MARY_BANK,transfer,US,US,True,layering,0.33880475,True,synthetic_maryam
MARY_000004,2023-06-01 08:00:00,1478.3926,USD,MARY_ACC_011,MARY_ACC_031,MARY_BANK,MARY_BANK,transfer,US,US,False,layering,0.19757722,True,synthetic_maryam
MARY_000005,2023-06-01 10:00:00,30.613731,USD,MARY_ACC_016,MARY_ACC_038,MARY_BANK,MARY_BANK,transfer,US,US,True,placement,0.47774822,True,synthetic_maryam
MARY_000006,2023-06-01 12:00:00,1585.3763,USD,MARY_ACC_003,MARY_ACC_025,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.60035384,True,synthetic_maryam
MARY_000007,2023-06-01 14:00:00,1699.4612,USD,MARY_ACC_022,MARY_ACC_038,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.7085397,True,synthetic_maryam
MARY_000008,2023-06-01 16:00:00,230.91536,USD,MARY_ACC_049,MARY_ACC_004,MARY_BANK,MARY_BANK,transfer,US,US,False,layering,0.34192824,True,synthetic_maryam
MARY_000009,2023-06-01 18:00:00,547.13464,USD,MARY_ACC_015,MARY_ACC_043,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.608385,True,synthetic_maryam
MARY_000010,2023-06-01 20:00:00,801.2897,USD,MARY_ACC_035,MARY_ACC_026,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.27529582,True,synthetic_maryam
MARY_000011,2023-06-01 22:00:00,1099.2816,USD,MARY_ACC_020,MARY_ACC_032,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.850383,True,synthetic_maryam
MARY_000012,2023-06-02 00:00:00,531.796,USD,MARY_ACC_043,MARY_ACC_028,MARY_BANK,MARY_BANK,transfer,US,US,False,layering,0.8169058,True,synthetic_maryam
MARY_000013,2023-06-02 02:00:00,5588.302,USD,MARY_ACC_004,MARY_ACC_033,MARY_BANK,MARY_BANK,transfer,US,US,False,layering,0.6387855,True,synthetic_maryam
MARY_000014,2023-06-02 04:00:00,1842.7231,USD,MARY_ACC_029,MARY_ACC_027,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.5886256,True,synthetic_maryam
MARY_000015,2023-06-02 06:00:00,425.427,USD,MARY_ACC_020,MARY_ACC_001,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.5269503,True,synthetic_maryam
MARY_000016,2023-06-02 08:00:00,5389.4927,USD,MARY_ACC_029,MARY_ACC_008,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.46459073,True,synthetic_maryam
MARY_000017,2023-06-02 10:00:00,2274.6794,USD,MARY_ACC_014,MARY_ACC_021,MARY_BANK,MARY_BANK,transfer,US,US,True,placement,0.2975948,True,synthetic_maryam
MARY_000018,2023-06-02 12:00:00,181.2827,USD,MARY_ACC_001,MARY_ACC_023,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.7300323,True,synthetic_maryam
MARY_000019,2023-06-02 14:00:00,1151.4318,USD,MARY_ACC_018,MARY_ACC_032,MARY_BANK,MARY_BANK,transfer,US,US,True,integration,0.7901807,True,synthetic_maryam
MARY_000020,2023-06-02 16:00:00,2584.7878,USD,MARY_ACC_017,MARY_ACC_003,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.50100476,True,synthetic_maryam
MARY_000021,2023-06-02 18:00:00,4216.3867,USD,MARY_ACC_015,MARY_ACC_044,MARY_BANK,MARY_BANK,transfer,US,US,False,layering,0.43004206,True,synthetic_maryam
MARY_000022,2023-06-02 20:00:00,16148.592,USD,MARY_ACC_025,MARY_ACC_006,MARY_BANK,MARY_BANK,transfer,US,US,True,layering,0.8959085,True,synthetic_maryam
MARY_000023,2023-06-02 22:00:00,6063.564,USD,MARY_ACC_013,MARY_ACC_006,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.600126,True,synthetic_maryam
MARY_000024,2023-06-03 00:00:00,717.24725,USD,MARY_ACC_033,MARY_ACC_049,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.92257667,True,synthetic_maryam
MARY_000025,2023-06-03 02:00:00,58.84391,USD,MARY_ACC_024,MARY_ACC_025,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.5102081,True,synthetic_maryam
MARY_000026,2023-06-03 04:00:00,2986.2622,USD,MARY_ACC_034,MARY_ACC_041,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.5562503,True,synthetic_maryam
MARY_000027,2023-06-03 06:00:00,779.28455,USD,MARY_ACC_011,MARY_ACC_014,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.2978889,True,synthetic_maryam
MARY_000028,2023-06-03 08:00:00,4422.9233,USD,MARY_ACC_037,MARY_ACC_019,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.52596873,True,synthetic_maryam
MARY_000029,2023-06-03 10:00:00,1192.4069,USD,MARY_ACC_047,MARY_ACC_013,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.3552575,True,synthetic_maryam
MARY_000030,2023-06-03 12:00:00,209.84723,USD,MARY_ACC_025,MARY_ACC_037,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.51036483,True,synthetic_maryam
MARY_000031,2023-06-03 14:00:00,537.6068,USD,MARY_ACC_041,MARY_ACC_041,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.45553848,True,synthetic_maryam
MARY_000032,2023-06-03 16:00:00,1715.8749,USD,MARY_ACC_032,MARY_ACC_030,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.45209756,True,synthetic_maryam
MARY_000033,2023-06-03 18:00:00,1139.2834,USD,MARY_ACC_001,MARY_ACC_028,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.5001452,True,synthetic_maryam
MARY_000034,2023-06-03 20:00:00,494.0104,USD,MARY_ACC_029,MARY_ACC_042,MARY_BANK,MARY_BANK,transfer,US,US,False,layering,0.5801269,True,synthetic_maryam
MARY_000035,2023-06-03 22:00:00,1380.5569,USD,MARY_ACC_041,MARY_ACC_036,MARY_BANK,MARY_BANK,transfer,US,US,True,layering,0.7675948,True,synthetic_maryam
MARY_000036,2023-06-04 00:00:00,983.98145,USD,MARY_ACC_011,MARY_ACC_007,MARY_BANK,MARY_BANK,transfer,US,US,False,integration,0.40981993,True,synthetic_maryam
MARY_000037,2023-06-04 02:00:00,534.6307,USD,MARY_ACC_022,MARY_ACC_019,MARY_BANK,MARY_BANK,transfer,US,US,False,layering,0.5393465,True,synthetic_maryam
MARY_000038,2023-06-04 04:00:00,3705.7366,USD,MARY_ACC_012,MARY_ACC_049,MARY_BANK,MARY_BANK,transfer,US,US,True,placement,0.71866995,True,synthetic_maryam
MARY_000039,2023-06-04 06:00:00,3622.4912,USD,MARY_ACC_001,MARY_ACC_014,MARY_BANK,MARY_BANK,transfer,US,US,False,placement,0.1326893,True,synthetic_maryam
