transaction_id,timestamp,amount,currency,originator_account,beneficiary_account,originator_bank,beneficiary_bank,transaction_type,originator_country,beneficiary_country,is_laundering,typology,risk_score,alert_flag,dataset_source
SAML_000000,2024-01-01 00:00:00,8050.0073,USD,SAML_ACC_0136,SAML_ACC_0215,BANK_A,BANK_A,withdrawal,FR,DE,False,phantom_transactions,0.19799094,False,synthetic_saml
SAML_000001,2024-01-01 00:30:00,2260.7942,USD,SAML_ACC_0418,SAML_ACC_0395,BANK_C,BANK_A,withdrawal,FR,NL,False,shell_company,0.24390526,False,synthetic_saml
SAML_000002,2024-01-01 01:00:00,10887.57,USD,SAML_ACC_0315,SAML_ACC_0112,BANK_A,BANK_A,withdrawal,DE,US,False,layering,0.1407988,False,synthetic_saml
SAML_000003,2024-01-01 01:30:00,62696.426,USD,SAML_ACC_0018,SAML_ACC_0442,BANK_B,BANK_B,withdrawal,CA,DE,False,trade_based,0.24650273,False,synthetic_saml
SAML_000004,2024-01-01 02:00:00,1866.263,USD,SAML_ACC_0351,SAML_ACC_0192,BANK_B,BANK_B,deposit,DE,UK,True,cash_intensive,0.572372,True,synthetic_saml
SAML_000005,2024-01-01 02:30:00,1866.3242,EUR,SAML_ACC_0443,SAML_ACC_0402,BANK_C,BANK_C,withdrawal,CA,DE,False,structuring,0.17767183,True,synthetic_saml
SAML_000006,2024-01-01 03:00:00,70152.42,EUR,SAML_ACC_0155,SAML_ACC_0047,BANK_C,BANK_B,transfer,DE,DE,False,smurfing,0.22840454,False,synthetic_saml
SAML_000007,2024-01-01 03:30:00,13833.79,GBP,SAML_ACC_0272,SAML_ACC_0489,BANK_A,BANK_A,payment,CA,CA,False,cash_intensive,0.19155474,False,synthetic_saml
SAML_000008,2024-01-01 04:00:00,1165.6699,USD,SAML_ACC_0266,SAML_ACC_0428,BANK_C,BANK_B,deposit,US,US,False,integration,0.36586252,False,synthetic_saml
SAML_000009,2024-01-01 04:30:00,8823.025,USD,SAML_ACC_0360,SAML_ACC_0221,BANK_C,BANK_B,payment,DE,US,False,trade_based,0.40858856,True,synthetic_saml
SAML_000010,2024-01-01 05:00:00,1179.876,USD,SAML_ACC_0332,SAML_ACC_0187,BANK_C,BANK_A,payment,CA,UK,False,placement,0.62530965,False,synthetic_saml
SAML_000011,2024-01-01 05:30:00,1174.4327,CAD,SAML_ACC_0406,SAML_ACC_0050,BANK_B,BANK_C,payment,NL,UK,False,structuring,0.31638038,False,synthetic_saml
SAML_000012,2024-01-01 06:00:00,4836.3936,USD,SAML_ACC_0016,SAML_ACC_0197,BANK_C,BANK_B,payment,UK,UK,False,trade_based,0.034438998,False,synthetic_saml
SAML_000013,2024-01-01 06:30:00,64.93842,EUR,SAML_ACC_0012,SAML_ACC_0216,BANK_C,BANK_C,payment,UK,US,False,integration,0.103489876,False,synthetic_saml
SAML_000014,2024-01-01 07:00:00,94.647964,USD,SAML_ACC_0075,SAML_ACC_0413,BANK_B,BANK_A,transfer,DE,CA,False,placement,0.2952549,False,synthetic_saml
SAML_000015,2024-01-01 07:30:00,968.1867,USD,SAML_ACC_0212,SAML_ACC_0221,BANK_B,BANK_B,withdrawal,DE,CA,True,trade_based,0.73445004,True,synthetic_saml
SAML_000016,2024-01-01 08:00:00,393.2076,USD,SAML_ACC_0179,SAML_ACC_0380,BANK_B,BANK_C,transfer,FR,FR,False,integration,0.57655954,True,synthetic_saml
SAML_000017,2024-01-01 08:30:00,5588.659,USD,SAML_ACC_0129,SAML_ACC_0090,BANK_B,BANK_C,deposit,CA,US,False,cash_intensive,0.23209275,False,synthetic_saml
SAML_000018,2024-01-01 09:00:00,484.90445,CAD,SAML_ACC_0283,SAML_ACC_0232,BANK_C,BANK_A,transfer,DE,FR,False,shell_company,0.014019118,False,synthetic_saml
SAML_000019,2024-01-01 09:30:00,176.86604,CAD,SAML_ACC_0195,SAML_ACC_0323,BANK_C,BANK_B,deposit,UK,DE,False,identity_theft,0.3434569,False,synthetic_saml
SAML_000020,2024-01-01 10:00:00,55898.76,USD,SAML_ACC_0268,SAML_ACC_0258,BANK_C,BANK_C,withdrawal,UK,UK,False,shell_company,0.088305786,False,synthetic_saml
SAML_000021,2024-01-01 10:30:00,1897.794,USD,SAML_ACC_0030,SAML_ACC_0153,BANK_A,BANK_C,payment,UK,FR,False,phantom_transactions,0.24785586,False,synthetic_saml
SAML_000022,2024-01-01 11:00:00,3412.0085,CAD,SAML_ACC_0009,SAML_ACC_0256,BANK_B,BANK_C,withdrawal,CA,NL,False,cash_intensive,0.37719673,True,synthetic_saml
