transaction_id,timestamp,amount,currency,originator_account,beneficiary_account,originator_bank,beneficiary_bank,transaction_type,originator_country,beneficiary_country,is_laundering,typology,risk_score,alert_flag,dataset_source
SAML_000004,2024-01-01 02:00:00,1866.2628803419386,USD,SAML_ACC_0351,SAML_ACC_0192,BANK_B,BANK_B,deposit,DE,UK,True,cash_intensive,0.5723719972337656,True,synthetic_saml
SAML_000015,2024-01-01 07:30:00,968.1867009082024,USD,SAML_ACC_0212,SAML_ACC_0221,BANK_B,BANK_B,withdrawal,DE,CA,True,trade_based,0.7344500400730467,True,synthetic_saml
SAML_000025,2024-01-01 12:30:00,3721.362633112248,USD,SAML_ACC_0310,SAML_ACC_0258,BANK_C,BANK_C,withdrawal,US,UK,True,wire_fraud,0.4128917158480652,True,synthetic_saml
SAML_000058,2024-01-02 05:00:00,5782.1268598063625,CAD,SAML_ACC_0161,SAML_ACC_0437,BANK_C,BANK_A,deposit,DE,US,True,layering,0.4992735714441097,True,synthetic_saml
SAML_000067,2024-01-02 09:30:00,22182.65144209826,GBP,SAML_ACC_0464,SAML_ACC_0122,BANK_A,BANK_A,transfer,NL,FR,True,wire_fraud,0.7482121662211371,True,synthetic_saml
SAML_000091,2024-01-02 21:30:00,20687.604450341485,EUR,SAML_ACC_0278,SAML_ACC_0001,BANK_A,BANK_A,withdrawal,FR,FR,True,layering,0.749454322603229,True,synthetic_saml
SAML_000102,2024-01-03 03:00:00,1502.0272384497955,USD,SAML_ACC_0159,SAML_ACC_0455,BANK_B,BANK_C,transfer,DE,UK,True,shell_company,0.8420606860582837,True,synthetic_saml
SAML_000109,2024-01-03 06:30:00,2568.579158692013,USD,SAML_ACC_0095,SAML_ACC_0155,BANK_C,BANK_C,payment,FR,UK,True,structuring,0.9309986415531788,True,synthetic_saml
SAML_000113,2024-01-03 08:30:00,411055.78942940006,USD,SAML_ACC_0023,SAML_ACC_0127,BANK_C,BANK_A,deposit,DE,CA,True,cash_intensive,0.4986075821013505,True,synthetic_saml
SAML_000120,2024-01-03 12:00:00,14502.31968785298,EUR,SAML_ACC_0148,SAML_ACC_0469,BANK_B,BANK_A,payment,UK,FR,True,shell_company,0.9811052696322117,True,synthetic_saml
SAML_000125,2024-01-03 14:30:00,238210.794448276,EUR,SAML_ACC_0295,SAML_ACC_0120,BANK_C,BANK_A,withdrawal,NL,FR,True,structuring,0.5369957219944158,True,synthetic_saml
SAML_000137,2024-01-03 20:30:00,1565.369171657082,CAD,SAML_ACC_0231,SAML_ACC_0458,BANK_A,BANK_B,payment,DE,DE,True,layering,0.6699325339606732,True,synthetic_saml
SAML_000165,2024-01-04 10:30:00,6806.013603929054,USD,SAML_ACC_0085,SAML_ACC_0330,BANK_B,BANK_C,deposit,DE,UK,True,smurfing,0.9498999531744122,True,synthetic_saml
SAML_000168,2024-01-04 12:00:00,1824.7965274528462,USD,SAML_ACC_0302,SAML_ACC_0213,BANK_C,BANK_A,withdrawal,US,CA,True,shell_company,0.8931076487241613,True,synthetic_saml
SAML_000175,2024-01-04 15:30:00,15589.712149212752,EUR,SAML_ACC_0168,SAML_ACC_0473,BANK_C,BANK_B,payment,NL,CA,True,cash_intensive,0.7025805698491827,True,synthetic_saml
SAML_000179,2024-01-04 17:30:00,687170.9207350624,USD,SAML_ACC_0251,SAML_ACC_0047,BANK_B,BANK_C,withdrawal,FR,CA,True,cryptocurrency,0.9452091603499134,True,synthetic_saml
SAML_000185,2024-01-04 20:30:00,12431.650859352954,USD,SAML_ACC_0124,SAML_ACC_0259,BANK_A,BANK_B,transfer,CA,FR,True,trade_based,0.6310237814192348,True,synthetic_saml
SAML_000188,2024-01-04 22:00:00,548.0752329132685,USD,SAML_ACC_0215,SAML_ACC_0422,BANK_C,BANK_C,withdrawal,CA,US,True,cryptocurrency,0.9405286998190412,True,synthetic_saml
SAML_000196,2024-01-05 02:00:00,508.9170962752644,CAD,SAML_ACC_0335,SAML_ACC_0389,BANK_A,BANK_A,deposit,NL,DE,True,wire_fraud,0.607792393620508,True,synthetic_saml
SAML_000203,2024-01-05 05:30:00,24528.821774324835,EUR,SAML_ACC_0064,SAML_ACC_0320,BANK_C,BANK_A,withdrawal,FR,US,True,trade_based,0.8318763903209656,True,synthetic_saml
SAML_000214,2024-01-05 11:00:00,1586.779089412949,USD,SAML_ACC_0152,SAML_ACC_0462,BANK_B,BANK_A,withdrawal,UK,UK,True,trade_based,0.8062053062789386,True,synthetic_saml
SAML_000218,2024-01-05 13:00:00,1129.2092684692461,EUR,SAML_ACC_0089,SAML_ACC_0479,BANK_B,BANK_C,deposit,CA,US,True,shell_company,0.7393058086690207,True,synthetic_saml
